group,horizon,N,EVALUABLE_N,CENSORED_N,EVENT_EXCLUDED_N,mean_return,median_return,win_rate,positive_return_rate,p25_return,p75_return,best_return,worst_return,stddev_return,mean_excluding_top_1pct,mean_excluding_top_5pct,top5_positive_pnl_share,MFE,MAE,COST_ADJUSTED_RETURN
ALL_MA60_CALCULABLE,1,23366,22861,215,290,0.002650442649072428,0.0,0.4756134902235248,0.4756134902235248,-0.024881516587677725,0.02586206896551724,0.5600961538461539,-0.16110304789550073,0.04605640549074849,0.0026445615129884973,0.0027261607536832864,0.2664876872766444,,,
ALL_MA60_CALCULABLE,3,23366,21853,648,865,0.00896450852459627,0.0,0.4944858829451334,0.4944858829451334,-0.045283018867924525,0.050203527815468114,0.6184538653366584,-0.2700381679389313,0.08877996404388354,0.008915479714187893,0.009139999409128914,0.3258080742893103,,,
ALL_MA60_CALCULABLE,5,23366,20846,1085,1435,0.01616932513778517,0.002577388069616049,0.5066199750551664,0.5066199750551664,-0.05643564356435644,0.0696870765470149,0.6070796460176991,-0.40632054176072235,0.11874339069896088,0.01605352871675679,0.016451711396514163,0.326122406858963,,,
ALL_MA60_CALCULABLE,10,23366,18335,2203,2828,0.029284173838267865,0.005847953216374269,0.5170984455958549,0.5170984455958549,-0.0745963746131447,0.09899300510255804,1.3045685279187818,-0.6473958333333333,0.17184716970655242,0.028953263254566187,0.029684657550677496,0.33384435344343244,,,
METHOD_A_ELIGIBLE,1,15886,15595,87,204,0.002940682592923023,0.0,0.4721385059313883,0.4721385059313883,-0.02743313184802055,0.028169014084507043,0.5600961538461539,-0.16110304789550073,0.04818944347244249,0.002949242091083175,0.003079354463973392,0.2510552355303864,,,
METHOD_A_ELIGIBLE,3,15886,15026,257,603,0.008823432144951631,-0.0025189076696614386,0.48030081192599494,0.48030081192599494,-0.049066181400249015,0.052211628908756844,0.6184538653366584,-0.2700381679389313,0.09192603360189647,0.008828558355968479,0.009183902860672694,0.32680374454836075,,,
METHOD_A_ELIGIBLE,5,15886,14455,413,1018,0.01574626974744684,0.0,0.4936700103770322,0.4936700103770322,-0.061620796547727855,0.07142857142857142,0.6070796460176991,-0.38073089700996676,0.12342103454462215,0.015736145438296774,0.016294332996662202,0.3267706164820716,,,
METHOD_A_ELIGIBLE,10,15886,13073,724,2089,0.02970801665961019,0.004048582995951417,0.5085290292970244,0.5085290292970244,-0.08108108108108109,0.102880658436214,1.3045685279187818,-0.5788461538461539,0.17958850109090055,0.02964436069153189,0.03059135992220359,0.3315354244906333,,,
CORE_V0_CANDIDATES,1,1212,1186,16,10,0.00926005648618014,0.0014642826515736214,0.5109612141652614,0.5109612141652614,-0.021128301181837846,0.034740013711976325,0.1,-0.16110304789550073,0.050198518339446926,0.00920874713102128,0.009765546121223254,0.2129120045518463,,,
CORE_V0_CANDIDATES,3,1212,1137,43,32,0.014803247066871682,0.002881844380403458,0.5153913808267371,0.5153913808267371,-0.03773584905660377,0.05311355311355311,0.32926829268292684,-0.26956521739130435,0.08982870891779199,0.014737808767018917,0.015801470652927283,0.3343140767846747,,,
CORE_V0_CANDIDATES,5,1212,1080,68,64,0.023010285045180354,0.0058953659412316565,0.5361111111111111,0.5361111111111111,-0.04207489374515049,0.06528209109730848,0.6059602649006622,-0.3072463768115942,0.12237076097892491,0.02322400463123041,0.024535032831209332,0.34984065077975074,,,
CORE_V0_CANDIDATES,10,1212,964,119,129,0.04437282144609906,0.010032692522633285,0.5425311203319502,0.5425311203319502,-0.05683688292383944,0.11255766091831666,0.9015706806282723,-0.4637305699481865,0.18241648312702874,0.04412645046099153,0.046473962053137544,0.3338300118963024,,,
A1_PRE_BREAKOUT,1,700,681,13,6,0.006237143832012744,0.0,0.4933920704845815,0.4933920704845815,-0.01583710407239819,0.02096177558569667,0.1,-0.16110304789550073,0.042165294485347726,0.006049264786952275,0.006152023212697246,0.2837771192671807,,,
A1_PRE_BREAKOUT,3,700,649,34,17,0.013089157524164601,0.002881844380403458,0.5238828967642527,0.5238828967642527,-0.025157232704402517,0.036048064085447265,0.3289617486338798,-0.26956521739130435,0.07442647462783798,0.012524792559121064,0.013182157060117385,0.3610468365928196,,,
A1_PRE_BREAKOUT,5,700,612,54,34,0.020637173727993056,0.003976158856636944,0.5294117647058824,0.5294117647058824,-0.02724706904038211,0.054291489361702125,0.6043715846994535,-0.3072463768115942,0.10468035908668778,0.019987505737816557,0.020811712809861313,0.37075641326141723,,,
A1_PRE_BREAKOUT,10,700,536,90,74,0.04758732410234259,0.011928476569910832,0.5764925373134329,0.5764925373134329,-0.03925440351614345,0.0978012135520212,0.795,-0.32753623188405795,0.16388684582423704,0.04636494216997039,0.04878968044729969,0.32842473089678675,,,
A2_CONFIRMED_BREAKOUT,1,512,505,3,4,0.013336499095067261,0.004884004884004884,0.5346534653465347,0.5346534653465347,-0.028350515463917526,0.06343283582089553,0.1,-0.1,0.05913523923315429,0.013509148664631545,0.01438688731961498,0.16404024120681324,,,
A2_CONFIRMED_BREAKOUT,3,512,488,9,15,0.017082845659529257,0.002680160875585152,0.5040983606557377,0.5040983606557377,-0.055358083201685095,0.07455908021729796,0.32926829268292684,-0.22794117647058823,0.10697155098083785,0.017652599779713767,0.019127308462040395,0.3091787504846939,,,
A2_CONFIRMED_BREAKOUT,5,512,468,14,30,0.026113584459963746,0.0112451958928469,0.5448717948717948,0.5448717948717948,-0.07029970326409496,0.0883632604985457,0.6059602649006622,-0.30367647058823527,0.1422842019592268,0.027395898680024993,0.029255640832113676,0.32660435095728996,,,
A2_CONFIRMED_BREAKOUT,10,512,428,29,55,0.04034718260556977,0.0006775067750677507,0.5,0.5,-0.08402038051844099,0.13877942471601512,0.9015706806282723,-0.4637305699481865,0.20338231656402989,0.04140548164900165,0.04162590979114265,0.33909698566784097,,,
